name,url,xml_url
Error Reporting,https://cloud.google.com/error-reporting/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
Cloud Trace,https://cloud.google.com/trace/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
Cloud Profiler,https://cloud.google.com/profiler/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
Cloud Debugger,https://cloud.google.com/debugger/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
Binary Authorization,https://cloud.google.com/binary-authorization/docs/release-notes,https://cloud.google.com/feeds/binary-auth-release-notes.xml
Cloud Asset Inventory,https://cloud.google.com/asset-inventory/docs/release-notes,https://cloud.google.com/feeds/asset-release-notes.xml
Cloud Data Loss Prevention,https://cloud.google.com/dlp/docs/release-notes,https://cloud.google.com/feeds/dlp-release-notes.xml
Cloud Key Management Service,https://cloud.google.com/kms/docs/release-notes,https://cloud.google.com/feeds/kms-release-notes.xml
Cloud Security Command Center,https://cloud.google.com/security-command-center/docs/release-notes,https://cloud.google.com/feeds/scc-release-notes.xml
Cloud Security Scanner,https://cloud.google.com/security-scanner/docs/release-notes,https://cloud.google.com/feeds/websecurityscanner-release-notes.xml
Event Threat Detection (beta),https://cloud.google.com/event-threat-detection/docs/release-notes,no_xml_link
VPC Service Controls,https://cloud.google.com/vpc-service-controls/docs/release-notes,https://cloud.google.com/feeds/vpc-sc-release-notes.xml
Secret Manager,https://cloud.google.com/secret-manager/docs/release-notes,https://cloud.google.com/feeds/secret-manager-release-notes.xml
Cloud IAM,https://cloud.google.com/iam/docs/release-notes,https://cloud.google.com/feeds/iam-release-notes.xml
Cloud Identity,https://cloud.google.com/identity/docs/release-notes,https://cloud.google.com/feeds/cloudidentity-release-notes.xml
Cloud Identity-Aware Proxy,https://cloud.google.com/iap/docs/release-notes,https://cloud.google.com/feeds/iap-release-notes.xml
Endpoint Verification,https://cloud.google.com/endpoint-verification/docs/release-notes,https://cloud.google.com/feeds/endpointverification-release-notes.xml
Identity Platform,https://cloud.google.com/identity-cp/docs/release-notes,https://cloud.google.com/feeds/identityplatform-release-notes.xml
Managed Service for Microsoft Active Directory,https://cloud.google.com/managed-microsoft-ad/docs/release-notes,https://cloud.google.com/feeds/managedmicrosoftad-release-notes.xml
Resource Manager,https://cloud.google.com/resource-manager/docs/release-notes,https://cloud.google.com/feeds/cloudresourcemanager-release-notes.xml
Phishing Protection,https://cloud.google.com/phishing-protection/docs/release-notes,https://cloud.google.com/feeds/phishingprotection-release-notes.xml
reCAPTCHA Enterprise,https://cloud.google.com/recaptcha-enterprise/docs/release-notes,https://cloud.google.com/feeds/recaptcha-enterprise-release-notes.xml
Web Risk API,https://cloud.google.com/web-risk/docs/release-notes,https://cloud.google.com/feeds/webrisk-release-notes.xml
Cloud Run,https://cloud.google.com/run/docs/release-notes,https://cloud.google.com/feeds/run-release-notes.xml
Cloud Functions,https://cloud.google.com/functions/docs/release-notes,https://cloud.google.com/feeds/functions-release-notes.xml
Cloud Storage,https://cloud.google.com/storage/docs/release-notes,https://cloud.google.com/feeds/storage-release-notes.xml
Cloud Filestore,https://cloud.google.com/filestore/docs/release-notes,https://cloud.google.com/feeds/filestore-release-notes.xml
